code_intel_celery    | [2026-02-17 14:37:45,528: INFO/MainProcess] Task tasks.import_github.import_github_repository[682a19e8-c382-488f-bcf7-1a174781c440] received
code_intel_celery    | [2026-02-17 14:37:45,546: WARNING/ForkPoolWorker-8] 🐙 Cloning GitHub repo: https://github.com/bisakhmondal/Assmebly-8085.git
code_intel_celery    | [2026-02-17 14:37:45,546: WARNING/ForkPoolWorker-8]    Preferred Branch: main
code_intel_celery    | [2026-02-17 14:37:45,546: WARNING/ForkPoolWorker-8]    Repository ID: 2d456ce9-d770-4a6b-af49-73558f3f899e
code_intel_celery    | [2026-02-17 14:37:45,551: WARNING/ForkPoolWorker-8]    Owner: bisakhmondal, Repo: Assmebly-8085
code_intel_celery    | [2026-02-17 14:37:45,551: WARNING/ForkPoolWorker-8]    📊 Fetching GitHub metadata...
code_intel_celery    | [2026-02-17 14:37:46,072: WARNING/ForkPoolWorker-8]    ✅ Metadata: 3 stars, Language: Assembly
code_intel_celery    | [2026-02-17 14:37:46,080: WARNING/ForkPoolWorker-8]    Clone directory: /tmp/github_bisakhmondal_Assmebly-8085_x2jtbnf5
code_intel_celery    | [2026-02-17 14:37:46,081: WARNING/ForkPoolWorker-8]    Trying branch: main
code_intel_celery    | [2026-02-17 14:37:46,455: WARNING/ForkPoolWorker-8]    ⚠️  Branch 'main' not found, trying next...
code_intel_celery    | [2026-02-17 14:37:46,455: WARNING/ForkPoolWorker-8]    Trying branch: master
code_intel_backend   | INFO:     172.66.0.243:41479 - "GET /api/repositories/2d456ce9-d770-4a6b-af49-73558f3f899e HTTP/1.1" 200 OK
code_intel_backend   | INFO:     172.66.0.243:41479 - "GET /api/repositories/2d456ce9-d770-4a6b-af49-73558f3f899e/files?limit=100 HTTP/1.1" 200 OK
code_intel_celery    | [2026-02-17 14:37:47,607: WARNING/ForkPoolWorker-8]    ✅ Successfully cloned branch: master
code_intel_celery    | [2026-02-17 14:37:47,607: WARNING/ForkPoolWorker-8]    ✅ Clone successful (branch: master)
code_intel_celery    | [2026-02-17 14:37:47,609: WARNING/ForkPoolWorker-8]    Removed .git directory
code_intel_celery    | [2026-02-17 14:37:47,609: WARNING/ForkPoolWorker-8]    Found 32 files
code_intel_celery    | [2026-02-17 14:37:47,610: WARNING/ForkPoolWorker-8]    Creating ZIP archive: /tmp/upload/2d456ce9-d770-4a6b-af49-73558f3f899e_github.zip
code_intel_celery    | [2026-02-17 14:37:47,634: WARNING/ForkPoolWorker-8]    ✅ ZIP created
code_intel_celery    | [2026-02-17 14:37:47,637: WARNING/ForkPoolWorker-8]    Cleaned up clone directory
code_intel_celery    | [2026-02-17 14:37:47,637: WARNING/ForkPoolWorker-8]    🚀 Triggering parse task...
code_intel_celery    | [2026-02-17 14:37:47,639: INFO/MainProcess] Task tasks.parse_repository.parse_repository_task[d4712629-40fc-41c4-b429-2a6ea0ae51f8] received
code_intel_celery    | [2026-02-17 14:37:47,640: INFO/ForkPoolWorker-8] Task tasks.import_github.import_github_repository[682a19e8-c382-488f-bcf7-1a174781c440] succeeded in 2.107192708999719s: {'repository_id': '2d456ce9-d770-4a6b-af49-73558f3f899e', 'github_url': 'https://github.com/bisakhmondal/Assmebly-8085.git', 'branch': 'master', 'requested_branch': 'main', 'owner': 'bisakhmondal', 'repo': 'Assmebly-8085', 'status': 'parsing', 'parse_task_id': 'd4712629-40fc-41c4-b429-2a6ea0ae51f8', 'file_count': 32, 'stars': 3, 'language': 'Assembly'}
code_intel_celery    | [2026-02-17 14:37:47,653: WARNING/ForkPoolWorker-1] 📦 Processing: bisakhmondal/Assmebly-8085 (ID: 2d456ce9-d770-4a6b-af49-73558f3f899e)
code_intel_celery    | [2026-02-17 14:37:47,656: WARNING/ForkPoolWorker-1] 📂 Extracting ZIP to: /tmp/code_intel_2d456ce9-d770-4a6b-af49-73558f3f899e
code_intel_celery    | [2026-02-17 14:37:47,664: WARNING/ForkPoolWorker-1] 🔧 Found 25 ASSEMBLY files
code_intel_celery    | [2026-02-17 14:37:47,666: WARNING/ForkPoolWorker-1] ⚠️  Tree-sitter assembly parser not available, using regex-based parsing
code_intel_celery    | [2026-02-17 14:37:47,667: WARNING/ForkPoolWorker-1]   ✓ ASSIGN_3/FIB_FUNC.asm: 1 symbols
code_intel_celery    | [2026-02-17 14:37:47,669: WARNING/ForkPoolWorker-1] ⚠️  Tree-sitter assembly parser not available, using regex-based parsing
code_intel_celery    | [2026-02-17 14:37:47,669: WARNING/ForkPoolWorker-1]   ✓ ASSIGN_3/SUM_SET_LSB_MSB.asm: 2 symbols
code_intel_celery    | [2026-02-17 14:37:47,670: WARNING/ForkPoolWorker-1] ⚠️  Tree-sitter assembly parser not available, using regex-based parsing
code_intel_celery    | [2026-02-17 14:37:47,671: WARNING/ForkPoolWorker-1]   ✓ ASSIGN_3/overlapping_copy.asm: 0 symbols
